Items: 500
Max score assuming infinite container: 2311
Gen #0 | Best score: 349 | Gen avg: 277.37 | Current optimal: 349 | Optimal ID: d78ef442f6cc9478651211e0a509326c | Wasted room: 132
Gen #15 | Best score: 365 | Gen avg: 236.50 | Current optimal: 367 | Optimal ID: 6c456ae006d9e21fc14b6404b17f6d63 | Wasted room: 176
Gen #16 | Best score: 365 | Gen avg: 238.77 | Current optimal: 367 | Optimal ID: 6c456ae006d9e21fc14b6404b17f6d63 | Wasted room: 176
Gen #17 | Best score: 365 | Gen avg: 233.02 | Current optimal: 367 | Optimal ID: 6c456ae006d9e21fc14b6404b17f6d63 | Wasted room: 176
Gen #18 | Best score: 365 | Gen avg: 228.11 | Current optimal: 367 | Optimal ID: 6c456ae006d9e21fc14b6404b17f6d63 | Wasted room: 176
Gen #19 | Best score: 365 | Gen avg: 233.06 | Current optimal: 367 | Optimal ID: 6c456ae006d9e21fc14b6404b17f6d63 | Wasted room: 176
Gen #20 | Best score: 365 | Gen avg: 232.11 | Current optimal: 367 | Optimal ID: 6c456ae006d9e21fc14b6404b17f6d63 | Wasted room: 176
Gen #21 | Best score: 365 | Gen avg: 233.55 | Current optimal: 367 | Optimal ID: 6c456ae006d9e21fc14b6404b17f6d63 | Wasted room: 176
Gen #22 | Best score: 365 | Gen avg: 223.93 | Current optimal: 367 | Optimal ID: 6c456ae006d9e21fc14b6404b17f6d63 | Wasted room: 176
Gen #23 | Best score: 365 | Gen avg: 227.52 | Current optimal: 367 | Optimal ID: 6c456ae006d9e21fc14b6404b17f6d63 | Wasted room: 176
Gen #24 | Best score: 356 | Gen avg: 227.10 | Current optimal: 367 | Optimal ID: 6c456ae006d9e21fc14b6404b17f6d63 | Wasted room: 176
Gen #25 | Best score: 356 | Gen avg: 221.01 | Current optimal: 367 | Optimal ID: 6c456ae006d9e21fc14b6404b17f6d63 | Wasted room: 176
Gen #26 | Best score: 356 | Gen avg: 225.03 | Current optimal: 367 | Optimal ID: 6c456ae006d9e21fc14b6404b17f6d63 | Wasted room: 176
Gen #27 | Best score: 356 | Gen avg: 235.09 | Current optimal: 367 | Optimal ID: 6c456ae006d9e21fc14b6404b17f6d63 | Wasted room: 176
Gen #28 | Best score: 366 | Gen avg: 233.24 | Current optimal: 367 | Optimal ID: 6c456ae006d9e21fc14b6404b17f6d63 | Wasted room: 176
Gen #29 | Best score: 366 | Gen avg: 229.52 | Current optimal: 367 | Optimal ID: 6c456ae006d9e21fc14b6404b17f6d63 | Wasted room: 176
Gen #30 | Best score: 366 | Gen avg: 228.37 | Current optimal: 367 | Optimal ID: 6c456ae006d9e21fc14b6404b17f6d63 | Wasted room: 176
Gen #31 | Best score: 366 | Gen avg: 228.23 | Current optimal: 367 | Optimal ID: 6c456ae006d9e21fc14b6404b17f6d63 | Wasted room: 176
Gen #32 | Best score: 366 | Gen avg: 224.89 | Current optimal: 367 | Optimal ID: 6c456ae006d9e21fc14b6404b17f6d63 | Wasted room: 176
Gen #33 | Best score: 366 | Gen avg: 229.03 | Current optimal: 367 | Optimal ID: 6c456ae006d9e21fc14b6404b17f6d63 | Wasted room: 176
Gen #34 | Best score: 367 | Gen avg: 218.42 | Current optimal: 367 | Optimal ID: 6c456ae006d9e21fc14b6404b17f6d63 | Wasted room: 176
Gen #35 | Best score: 367 | Gen avg: 221.14 | Current optimal: 367 | Optimal ID: 6c456ae006d9e21fc14b6404b17f6d63 | Wasted room: 176
Gen #36 | Best score: 367 | Gen avg: 224.52 | Current optimal: 367 | Optimal ID: 6c456ae006d9e21fc14b6404b17f6d63 | Wasted room: 176
Gen #37 | Best score: 377 | Gen avg: 229.38 | Current optimal: 377 | Optimal ID: 6bd0f5a514f809650a6b9577aeafb785 | Wasted room: 169
Gen #38 | Best score: 377 | Gen avg: 233.62 | Current optimal: 377 | Optimal ID: 6bd0f5a514f809650a6b9577aeafb785 | Wasted room: 169
Gen #39 | Best score: 377 | Gen avg: 242.16 | Current optimal: 377 | Optimal ID: 6bd0f5a514f809650a6b9577aeafb785 | Wasted room: 169
Gen #40 | Best score: 377 | Gen avg: 239.78 | Current optimal: 377 | Optimal ID: 6bd0f5a514f809650a6b9577aeafb785 | Wasted room: 169
Gen #41 | Best score: 377 | Gen avg: 241.24 | Current optimal: 377 | Optimal ID: 6bd0f5a514f809650a6b9577aeafb785 | Wasted room: 169
Gen #42 | Best score: 381 | Gen avg: 246.02 | Current optimal: 381 | Optimal ID: 3cc3e0642c0dc834e78b05d3fdf3eb70 | Wasted room: 152
Gen #43 | Best score: 381 | Gen avg: 239.35 | Current optimal: 381 | Optimal ID: 3cc3e0642c0dc834e78b05d3fdf3eb70 | Wasted room: 152
Gen #44 | Best score: 381 | Gen avg: 233.80 | Current optimal: 381 | Optimal ID: 3cc3e0642c0dc834e78b05d3fdf3eb70 | Wasted room: 152
Gen #45 | Best score: 381 | Gen avg: 227.16 | Current optimal: 381 | Optimal ID: 3cc3e0642c0dc834e78b05d3fdf3eb70 | Wasted room: 152
Gen #46 | Best score: 381 | Gen avg: 229.96 | Current optimal: 381 | Optimal ID: 3cc3e0642c0dc834e78b05d3fdf3eb70 | Wasted room: 152
Gen #47 | Best score: 381 | Gen avg: 228.75 | Current optimal: 381 | Optimal ID: 3cc3e0642c0dc834e78b05d3fdf3eb70 | Wasted room: 152
Gen #48 | Best score: 381 | Gen avg: 239.11 | Current optimal: 381 | Optimal ID: 3cc3e0642c0dc834e78b05d3fdf3eb70 | Wasted room: 152
Gen #49 | Best score: 381 | Gen avg: 238.44 | Current optimal: 381 | Optimal ID: 3cc3e0642c0dc834e78b05d3fdf3eb70 | Wasted room: 152
Gen #50 | Best score: 381 | Gen avg: 236.90 | Current optimal: 381 | Optimal ID: 3cc3e0642c0dc834e78b05d3fdf3eb70 | Wasted room: 152
Gen #51 | Best score: 381 | Gen avg: 242.61 | Current optimal: 381 | Optimal ID: 3cc3e0642c0dc834e78b05d3fdf3eb70 | Wasted room: 152
Gen #52 | Best score: 381 | Gen avg: 237.37 | Current optimal: 381 | Optimal ID: 3cc3e0642c0dc834e78b05d3fdf3eb70 | Wasted room: 152
Gen #53 | Best score: 381 | Gen avg: 246.15 | Current optimal: 381 | Optimal ID: 3cc3e0642c0dc834e78b05d3fdf3eb70 | Wasted room: 152
Gen #54 | Best score: 381 | Gen avg: 240.19 | Current optimal: 381 | Optimal ID: 3cc3e0642c0dc834e78b05d3fdf3eb70 | Wasted room: 152
Gen #55 | Best score: 383 | Gen avg: 247.19 | Current optimal: 383 | Optimal ID: c9a99dde35554f1371249a9c75782089 | Wasted room: 144
Gen #56 | Best score: 383 | Gen avg: 235.15 | Current optimal: 383 | Optimal ID: c9a99dde35554f1371249a9c75782089 | Wasted room: 144
Gen #57 | Best score: 392 | Gen avg: 233.95 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #58 | Best score: 392 | Gen avg: 225.49 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #59 | Best score: 392 | Gen avg: 222.69 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #60 | Best score: 392 | Gen avg: 222.84 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #61 | Best score: 392 | Gen avg: 224.84 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #62 | Best score: 392 | Gen avg: 221.61 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #63 | Best score: 392 | Gen avg: 231.32 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #64 | Best score: 392 | Gen avg: 230.56 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #65 | Best score: 392 | Gen avg: 224.92 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #66 | Best score: 392 | Gen avg: 235.48 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #67 | Best score: 392 | Gen avg: 228.19 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #68 | Best score: 392 | Gen avg: 220.20 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #69 | Best score: 392 | Gen avg: 233.86 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #70 | Best score: 392 | Gen avg: 236.68 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #71 | Best score: 392 | Gen avg: 234.83 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #72 | Best score: 392 | Gen avg: 239.06 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #73 | Best score: 392 | Gen avg: 234.68 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #74 | Best score: 392 | Gen avg: 233.99 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #75 | Best score: 392 | Gen avg: 237.30 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #76 | Best score: 392 | Gen avg: 239.66 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #77 | Best score: 392 | Gen avg: 230.08 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #78 | Best score: 392 | Gen avg: 232.48 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #79 | Best score: 392 | Gen avg: 232.63 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #80 | Best score: 392 | Gen avg: 223.91 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #81 | Best score: 392 | Gen avg: 231.96 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #82 | Best score: 392 | Gen avg: 232.41 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #83 | Best score: 392 | Gen avg: 232.21 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #84 | Best score: 392 | Gen avg: 236.08 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #85 | Best score: 392 | Gen avg: 229.21 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #86 | Best score: 392 | Gen avg: 233.91 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #87 | Best score: 392 | Gen avg: 229.30 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #88 | Best score: 392 | Gen avg: 224.10 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #89 | Best score: 392 | Gen avg: 221.92 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #90 | Best score: 392 | Gen avg: 223.63 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #91 | Best score: 392 | Gen avg: 227.84 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #92 | Best score: 392 | Gen avg: 224.47 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #93 | Best score: 392 | Gen avg: 220.55 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #94 | Best score: 392 | Gen avg: 214.65 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #95 | Best score: 392 | Gen avg: 217.84 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #96 | Best score: 386 | Gen avg: 213.70 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #97 | Best score: 386 | Gen avg: 215.79 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #98 | Best score: 386 | Gen avg: 226.35 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #99 | Best score: 386 | Gen avg: 226.61 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #100 | Best score: 386 | Gen avg: 234.52 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #101 | Best score: 386 | Gen avg: 238.71 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #102 | Best score: 386 | Gen avg: 231.06 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #103 | Best score: 363 | Gen avg: 224.49 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #104 | Best score: 363 | Gen avg: 224.72 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #105 | Best score: 363 | Gen avg: 233.49 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #106 | Best score: 367 | Gen avg: 231.67 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #107 | Best score: 367 | Gen avg: 229.83 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #108 | Best score: 367 | Gen avg: 241.16 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #109 | Best score: 367 | Gen avg: 229.67 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #110 | Best score: 367 | Gen avg: 228.02 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #111 | Best score: 367 | Gen avg: 234.73 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #112 | Best score: 367 | Gen avg: 225.14 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #113 | Best score: 367 | Gen avg: 229.24 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #114 | Best score: 367 | Gen avg: 238.63 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #115 | Best score: 367 | Gen avg: 234.29 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #116 | Best score: 367 | Gen avg: 230.77 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #117 | Best score: 367 | Gen avg: 240.74 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #118 | Best score: 367 | Gen avg: 238.12 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #119 | Best score: 365 | Gen avg: 234.08 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #120 | Best score: 365 | Gen avg: 235.54 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #121 | Best score: 358 | Gen avg: 238.13 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #122 | Best score: 358 | Gen avg: 236.39 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #123 | Best score: 357 | Gen avg: 233.00 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #124 | Best score: 357 | Gen avg: 231.67 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #125 | Best score: 357 | Gen avg: 238.48 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #126 | Best score: 357 | Gen avg: 236.05 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #127 | Best score: 357 | Gen avg: 240.24 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #128 | Best score: 357 | Gen avg: 233.51 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #129 | Best score: 357 | Gen avg: 235.55 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #130 | Best score: 357 | Gen avg: 234.00 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #131 | Best score: 357 | Gen avg: 230.62 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #132 | Best score: 385 | Gen avg: 227.88 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #133 | Best score: 357 | Gen avg: 226.23 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #134 | Best score: 357 | Gen avg: 230.08 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #135 | Best score: 362 | Gen avg: 235.69 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #136 | Best score: 362 | Gen avg: 229.12 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #137 | Best score: 362 | Gen avg: 231.08 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #138 | Best score: 357 | Gen avg: 223.68 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #139 | Best score: 357 | Gen avg: 220.09 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #140 | Best score: 357 | Gen avg: 214.21 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #141 | Best score: 359 | Gen avg: 219.65 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #142 | Best score: 359 | Gen avg: 216.59 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #143 | Best score: 359 | Gen avg: 213.77 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #144 | Best score: 359 | Gen avg: 215.05 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #145 | Best score: 359 | Gen avg: 210.74 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #146 | Best score: 359 | Gen avg: 212.29 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #147 | Best score: 359 | Gen avg: 211.61 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #148 | Best score: 359 | Gen avg: 211.26 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #149 | Best score: 359 | Gen avg: 213.91 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #150 | Best score: 359 | Gen avg: 215.05 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #151 | Best score: 359 | Gen avg: 219.02 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #152 | Best score: 359 | Gen avg: 212.19 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #153 | Best score: 359 | Gen avg: 210.52 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #154 | Best score: 364 | Gen avg: 218.85 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #155 | Best score: 364 | Gen avg: 214.15 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #156 | Best score: 364 | Gen avg: 215.24 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #157 | Best score: 364 | Gen avg: 215.04 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #158 | Best score: 364 | Gen avg: 212.95 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #159 | Best score: 364 | Gen avg: 216.01 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #160 | Best score: 364 | Gen avg: 215.34 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #161 | Best score: 364 | Gen avg: 215.61 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #162 | Best score: 364 | Gen avg: 228.72 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #163 | Best score: 359 | Gen avg: 225.89 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #164 | Best score: 359 | Gen avg: 227.29 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #165 | Best score: 359 | Gen avg: 223.97 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #166 | Best score: 359 | Gen avg: 236.56 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #167 | Best score: 362 | Gen avg: 231.59 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #168 | Best score: 362 | Gen avg: 228.43 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #169 | Best score: 362 | Gen avg: 225.24 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #170 | Best score: 364 | Gen avg: 235.22 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #171 | Best score: 364 | Gen avg: 231.63 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #172 | Best score: 364 | Gen avg: 234.22 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #173 | Best score: 362 | Gen avg: 225.84 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #174 | Best score: 362 | Gen avg: 219.80 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #175 | Best score: 362 | Gen avg: 222.78 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #176 | Best score: 362 | Gen avg: 227.12 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #177 | Best score: 362 | Gen avg: 232.92 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #178 | Best score: 366 | Gen avg: 234.63 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #179 | Best score: 366 | Gen avg: 234.98 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #180 | Best score: 366 | Gen avg: 232.72 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #181 | Best score: 366 | Gen avg: 221.67 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
Gen #182 | Best score: 362 | Gen avg: 217.23 | Current optimal: 392 | Optimal ID: 6f527a6b818ea987e2de765160c40d21 | Wasted room: 149
